"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"
"ACHMIL"	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00262105408817869	1e-15	-0.00355575959683824	1e-15	1e-15	1e-15	1e-15	1e-15	0.00120052694526964	-0.0303405505081497	-0.0138377664791596	1e-15	-0.0173965464182709	-0.0411379746792681	1e-15
"ARRELA"	0.0105417013171229	0.00286337072865566	-0.00159399798370871	-0.0127610831761752	1e-15	1e-15	-0.00955610541408901	1e-15	-0.0107715190778779	-0.0114211060649495	1e-15	0.00629538333906164	1e-15	1e-15	1e-15	0.00165367856660523	1e-15	-0.00391307129600862	0.00138182134616176	-8.44589495106715e-05	1e-15	1e-15
"BROERE"	1e-15	1e-15	-0.00157806912134705	0.0203530926745418	0.0100485360755316	-0.00185588960563269	-0.000709065707835544	0.00300133499962415	1e-15	-0.0095467653350935	-0.00222173755059015	0.00544286222265765	0.000600143305507103	1e-15	1e-15	0.00396343590559631	1e-15	1e-15	0.00688769148535624	1e-15	0.00624587563152115	0.0121807639437629
"CENJAC"	1e-15	1e-15	1e-15	1e-15	1e-15	0.0363949757866508	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.0528295927616387	1e-15	1e-15	0.0272701988348732	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15
"CONARV"	-0.00937368777656313	1.97331000131785e-05	0.00123019013959362	1e-15	-0.000711242631890027	-0.000333728416195709	1e-15	1e-15	-0.000350249569226718	-0.0277486421885597	1e-15	0.00764727001400154	-0.00022337514506871	0.00506663464003056	-8.1274512946528e-05	0.0104098577154853	-0.00309626358202509	0.00338380686193939	0.0998584035334257	1e-15	-0.0111739282816583	-0.00816722887891912
"CREPIS"	1e-15	1e-15	0.00355785375193693	0.0610868270772496	1e-15	0.00942354549518908	1e-15	1e-15	0.00236400839269905	1e-15	0.0334557119128219	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.0523891291281798	1e-15	1e-15	0.02275934514285
"DACGLO"	-0.00712510242934452	-0.00223553177548111	0.00143718541011029	0.00749228919614748	-0.00305550163923678	-0.00822226076991503	0.00321162700401384	0.00241695170682586	0.00128941321585783	-0.00243999911820972	-0.00148485418444407	0.0110146515651127	1e-15	-0.00343634638789982	-0.00402179475328842	0.00161385815102037	-0.0029798060528796	-0.00562917706141125	1e-15	0.00378970361240714	0.0205966209690137	-0.0132609003436305
"DAUCAR"	1e-15	-0.000968609699042102	1e-15	0.00867586113372983	0.0209237249902918	-0.0971597624438177	1e-15	1e-15	0.00876064464504042	0.003257629394087	0.0024479802350354	0.00434187853397935	-0.00434568387758442	0.00449097266153056	1e-15	0.00337562030421102	-0.00712196686025493	-0.042265013311171	-0.0123227302244556	-0.00246071731129078	0.0355652294086651	-0.00805510941893159
"ELYREP"	0.0262845775480567	-0.00104375017602541	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.0144462859000365	1e-15	1e-15	0.00721396533019737	0.00429331252455572	1e-15	-0.00593307678591472	1e-15	-0.00382027915818682	1e-15	0.0031697789815622	-0.0139111841947225	1e-15	0.000327352617386052
"ERYNGE"	-0.0162707814175273	-0.0038483487875412	-0.013525294556402	1e-15	1e-15	0.103076156108907	-0.0312464694980414	1e-15	0.175398878892045	0.00879779433279924	-0.0187839199475341	1e-15	1e-15	1e-15	1e-15	-0.0208980950450062	0.00343459678971827	1e-15	-0.187390324919552	0.0597395592326337	1e-15	0.046749350336755
"FESRUB"	1e-15	1e-15	1e-15	0.0304181509163055	1e-15	0.0194552191287863	1e-15	1e-15	0.0685637711790826	1e-15	-0.00101733499837011	1e-15	1e-15	1e-15	0.0133863901560833	1e-15	-7.87298293040289e-05	0.00321873974304552	-0.0678373738515586	1e-15	-0.0111053736846195	-0.00745078873651828
"GALVER"	0.0184171303922521	0.00228794778241002	0.00132069779645501	1e-15	0.00751762822691886	1e-15	1e-15	1e-15	1e-15	-0.00603012749158967	-0.010757375661566	0.00849533400475224	-0.000776706438042422	1e-15	0.000280059490643483	0.000835938415490893	0.000501559888623991	0.00380354998715137	-0.00730333888058909	0.0100083783043131	1e-15	-0.0137659574139113
"LEUVUL"	-0.0629606498465767	1e-15	1e-15	1e-15	1e-15	-0.0248067468003753	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00858390843569245	-0.0302084281572023	0.00444484308422232	1e-15	-0.00755186769074892	-0.00168218681390545	1e-15	1e-15	-0.00287136456226733	1e-15	0.00157810937048742
"ONOREP"	1e-15	-0.00311015267280628	-0.00247768184779836	1e-15	0.0118297528304164	1e-15	-0.00131380129385621	0.00476946122127116	0.0175460813281834	1e-15	1e-15	0.00242906007490548	1e-15	-0.0111387098391879	1e-15	1e-15	0.0150117138951849	1e-15	-0.0292641795331451	1e-15	1e-15	0.00857211336335577
"PICECH"	1e-15	1e-15	0.0108697298904135	1e-15	0.0922264074459841	1e-15	-0.0316161898914953	1e-15	0.0332090630273216	0.0137426290181826	1e-15	1e-15	0.136082119907992	1e-15	0.0568543932423948	1e-15	1e-15	1e-15	0.0449364307771935	0.0042941262095286	1e-15	0.0223269006433768
"PLALAN"	1e-15	0.000203101351103956	0.00279660571945511	1e-15	0.00941150353883275	1e-15	1e-15	0.00277714889954723	0.00384542829277655	1e-15	0.00514354689176925	1e-15	-0.0262350943471104	0.00414127837204201	0.00369854471440308	0.013050114815687	-0.00102475075039778	-0.000489223021195574	0.00571391320037247	0.0023271546068511	0.00515667810440004	-0.00313004000145734
