"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"
"ACHMIL"	1e-15	1e-15	-0.00223204812121755	1e-15	1e-15	1e-15	-0.00770755508971886	0.000259851219969783	1e-15	1e-15	1e-15	-0.00138144058484324	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15
"ARRELA"	-0.00697884322121849	0.001523592558558	1e-15	-0.00679179600310369	1e-15	1e-15	1e-15	0.00184811753202476	0.0104652287827991	0.00948409031321871	-0.00206861639812465	1e-15	1e-15	1e-15	0.000630261211480225	1e-15	-0.0113230553202404	0.00600581778957228	-0.00111907347461533	0.00139349803387734	1e-15	-0.00650617543515366
"BROERE"	0.00744094911345834	1e-15	0.000986446666028876	1e-15	0.00169361543349372	1e-15	0.000736758392470543	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00837063014578216	1e-15	1e-15	0.00538393817656656	0.00902242682356511	1e-15	1e-15	-0.0147062285384918	-0.00604287004289076
"CENJAC"	1e-15	-0.00491448644327008	0.00973064923635144	-0.0251650891010437	-0.0108638797074922	1e-15	-0.00115085557602568	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.0131182639338532	1e-15	1e-15	-0.00949230478174784	0.000331813701553738	-0.0215847500421857	-0.0406995673026684	1e-15	1e-15
"CONARV"	1e-15	1e-15	1e-15	-0.00987884136427312	0.00259628278711284	1e-15	0.000835827114342833	0.00587089585955017	0.0174574292525113	0.00810990234009363	0.0102511754685235	-0.000742740616756507	0.0123034471852677	1e-15	1e-15	-0.00324658560858621	0.00436582163926966	1e-15	0.0297753001543569	-0.0112298645202523	1e-15	0.00072004767279683
"CREPIS"	1e-15	1e-15	0.000424609032972533	1e-15	1e-15	1e-15	1e-15	-0.00373706492546569	1e-15	1e-15	1e-15	0.000530169697431326	1e-15	1e-15	1e-15	1e-15	-0.00788602767644327	1e-15	1e-15	-0.00761446649736596	1e-15	1e-15
"DACGLO"	0.00275960264335409	0.0011336625818611	0.0022799873169185	0.0141650578050472	-0.00543610012163666	0.000605508603648076	-0.00119022657369521	0.00246193797244555	1e-15	0.00074174292452219	-0.0114177272472495	1e-15	1e-15	-0.00259862362911361	1e-15	0.00112680011054763	-0.000462520404882529	1e-15	0.0026906492153311	-0.00191458869086308	1e-15	-0.00307021855899215
"DAUCAR"	0.0159001880594791	1e-15	-0.000963755133193581	0.0329299617975306	0.00301975606334429	0.0196152976676329	1e-15	0.00197680578449643	-0.0179355385305179	-0.00516863919120765	0.0377772915723557	1e-15	-0.00604239979696676	1e-15	-0.00127296269371447	0.00592378247438315	1e-15	-0.0104143663849396	0.00157345491845276	-0.00530125548808372	0.0180393628318911	0.00367873554697823
"ELYREP"	1e-15	1e-15	1e-15	0.00544080593006147	0.0180035247867295	1e-15	-0.00106598993088307	1e-15	-0.0113481556704338	-0.000390292060380919	1e-15	1e-15	-0.000737063736506503	1e-15	1e-15	-0.000136845906494968	1e-15	1e-15	0.0232524182710435	1e-15	-0.000183743865060117	1e-15
"ERYNGE"	0.156329465253014	1e-15	1e-15	0.00721279483663394	1e-15	1e-15	1e-15	1e-15	1e-15	-0.0126333696882376	1e-15	0.00270076204130644	0.0163132680798734	1e-15	1e-15	1e-15	0.00520463989743488	0.00203420393191229	0.0684677992760368	-0.00113459440844452	-0.0152443302909617	-0.00236085821663529
"FESRUB"	1e-15	1e-15	-0.0111748133924402	-0.0843461466195595	1e-15	1e-15	1e-15	0.00117515771991259	-0.0283778580696021	1e-15	1e-15	1e-15	1e-15	0.0164968651414447	1e-15	-0.0242842601021707	1e-15	1e-15	1e-15	1e-15	0.0937263563234792	-0.0365140654256158
"GALVER"	0.00535030646569828	-0.000345774668189856	-0.00139653867059582	1e-15	-0.0142724041202487	1e-15	0.00579826350418384	-0.00113694431796416	0.00216819252897211	0.00798996007978859	0.0104539018170963	-0.00278503921213474	1e-15	1e-15	-0.00246980876408526	1e-15	-0.00580228125996177	-0.00240891913308561	1e-15	-0.00162817952835115	1e-15	1e-15
"LEUVUL"	1e-15	1e-15	-0.00326141763054005	1e-15	1e-15	0.0145601999346512	1e-15	-0.000696130701323671	-0.0162769144252793	-0.025653844522573	-0.0183789367317634	1e-15	0.0156636499423989	1e-15	1e-15	0.000154703202441585	1e-15	1e-15	-0.0094851913800359	0.00326289897146329	1e-15	1e-15
"ONOREP"	1e-15	-0.0210725022289627	-0.00736580981892413	1e-15	1e-15	0.0730518262949187	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.0133766096055086	1e-15	1e-15	1e-15	1e-15	1e-15	-0.041634679832632	1e-15
"PICECH"	1e-15	-0.00637272593888922	-0.000127053883607461	0.0742937364165775	-0.0069116884826045	0.02643761366146	1e-15	1e-15	0.0110872391128422	1e-15	1e-15	-0.0310097672845776	1e-15	1e-15	1e-15	-0.00708817720426486	-0.0204970679662856	1e-15	1e-15	1e-15	1e-15	-0.0203829576665285
"PLALAN"	0.00275698187300492	1e-15	-0.00181949334747706	0.0156830128017848	-0.00376138484076337	0.00894422154194515	1e-15	0.00343994486693817	1e-15	0.00222064529329106	-0.00524943312828211	1e-15	1e-15	1e-15	-0.00250588462277583	1e-15	0.000101257113251865	-0.00116881483265481	-0.00204983411077856	0.00391392653253232	1e-15	0.0015735303172004
"POAANG"	0.00680167515124835	0.000723095877693968	0.000852028970118455	1e-15	-0.00682863398662255	8.05197711479206e-05	1e-15	0.00307617565958332	1e-15	1e-15	0.000109549454831735	-2.04682698827452e-05	0.0153830687594703	0.00597866673549863	1e-15	-0.00145522374614468	-0.00692635262224657	-0.0183547101153209	0.000626334463995922	0.00393274790166958	1e-15	0.000109573003470089
"RANACR"	-0.0193585358439365	-0.00051141362074829	1e-15	-0.00650204297208959	0.00296739637138268	-0.00181179268626266	-0.00178531547060612	-4.04244788009456e-05	0.0112200613446442	0.0131627107464765	0.0039642983603516	-0.00458256529026293	-0.00536996718181955	0.0188110449277105	-0.00759914920605877	1e-15	-0.00744993863922265	0.0230071429314892	1e-15	1e-15	-0.0125028193757518	0.00742450622786209
"RUMACE"	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.0120157469956141	1e-15	0.00315317638143522	1e-15	1e-15
