"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"
"ACHMIL"	1e-15	5.85449339221369e-05	0.000304476478361492	1e-15	1e-15	1e-15	1e-15	1e-15	0.0127066065793285	-0.0041334930572517	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00692016167121593	0.00300770161999541	0.00137538166883959
"ARRELA"	1e-15	0.00086886851426089	1e-15	1e-15	1e-15	-0.000875240019430462	1e-15	-0.000635673306355226	1e-15	1e-15	0.0011021682118266	1e-15	0.00102357962605555	1e-15	1e-15	-0.00241918640729017	0.0038313289522932	-0.00578360635158436	1e-15	1e-15	1e-15	-0.00791486468868963
"BROERE"	-0.0113785558958186	-0.000755173188347669	0.00189863106826491	1e-15	-0.00320853010283502	-0.00971610366190981	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00607906339499624	-0.00131696135261843	1e-15	1e-15	0.0107033030202216	-0.000271462190395252	-0.00577170261585862	-0.00110947779320373
"CENJAC"	1e-15	1e-15	0.000990628257796875	-0.00116252098706768	0.0415703613482554	1e-15	1e-15	1e-15	1e-15	0.0404084255475942	0.00549343473345994	1e-15	1e-15	-0.00741659103150864	-0.00546082741798552	1e-15	0.00409969599952127	1e-15	1e-15	-0.0518614977939469	1e-15	1e-15
"CONARV"	1e-15	1e-15	0.00069497306397841	0.002246734963697	-0.00170821048702163	1e-15	-0.0055134510971655	-0.00359135416019845	1e-15	1e-15	1e-15	0.00290501897768867	1e-15	0.00460502069038291	1e-15	-0.00053138529863127	0.0078225685623369	-0.00407688071762801	1e-15	1e-15	-4.96796823787546e-05	1e-15
"CREPIS"	1e-15	-0.00325226745937506	1e-15	1e-15	1e-15	1e-15	-0.00077524299517311	0.00796467885354737	1e-15	1e-15	1e-15	1e-15	-0.0134720502571905	1e-15	1e-15	-0.00758287820163981	0.0308231124694547	0.00411855429065371	1e-15	1e-15	1e-15	-0.0146373474568452
"DACGLO"	0.020213347801882	-0.0015914474179375	0.00139533609982953	0.00405781992640772	1e-15	0.00504204528079194	-0.00463790816635724	1e-15	-0.00273679387499268	0.00186783837903105	1e-15	0.000184939090799229	1e-15	-0.00252497830216423	1e-15	0.000112072005899301	0.0048414184087135	1e-15	0.00160132070537815	1e-15	0.020799487389172	-0.00156725063412672
"DAUCAR"	0.022914494403148	-0.00276628915745203	0.0020080936055524	-0.0116537687061453	-0.00384779622394358	0.000876453329308638	0.00856410712239653	-0.000339705128445794	1e-15	0.00844838784592546	1e-15	0.00352609297167351	1e-15	-0.00202758519416274	-0.0128887932438441	1e-15	-0.0132458512898745	1e-15	0.00128066636747739	-0.00695983418189895	0.00309116289489594	0.0085628612972707
"ELYREP"	0.00673475047686205	1e-15	0.00277860499199736	1e-15	0.00509519740683456	0.0160442256005628	1e-15	-0.0019186456262509	0.00966049461373195	1e-15	-0.00730285345336925	1e-15	-0.0029937859381475	-0.0033896408706983	1e-15	1e-15	0.0130627513197584	1e-15	-0.01062366444427	1e-15	1e-15	-0.0100003286469355
"ERYNGE"	0.0327018859647189	0.0073226609614832	1e-15	-0.0381325554908399	-0.0114184437519402	0.0515035048415025	1e-15	0.00589774723386682	1e-15	0.000707604608052988	1e-15	0.0330160613058129	-0.0479770729709726	1e-15	-0.0148275908993023	1e-15	-0.0516715462037092	1e-15	-0.0310445718461664	1e-15	0.0501445365580882	0.0172159937491846
"FESRUB"	-0.00211116471957224	0.00103727000775824	1e-15	0.000874788550234373	1e-15	-0.000542816975389372	0.0155530345590112	-0.000686938403970485	1e-15	0.000263038082950063	1e-15	-0.0121893189594903	-0.0119301273253045	-0.0161357341629257	-0.0105096851004495	1e-15	1e-15	1e-15	1e-15	-0.0174033898321846	1e-15	0.00313911261362003
"GALVER"	1e-15	0.000878510369298958	-0.000574807430268918	0.0179070459691486	1e-15	0.00182812182847677	0.00241735171114477	1e-15	1e-15	1e-15	0.00307495235953263	1e-15	1e-15	-0.00485019159913993	1e-15	1e-15	0.00320744742378216	1e-15	1e-15	0.00142008634136306	-0.00717688080372626	1e-15
"LEUVUL"	1e-15	1e-15	-5.49659707023053e-05	1e-15	-0.00229448991041412	1e-15	-0.00111232192049857	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.00370649526419261
"ONOREP"	1e-15	-0.00254268699274481	-0.000184489823721329	1e-15	1e-15	0.00541213365311704	-0.0179283395842595	-0.00166078004880364	-0.0356474716666819	-9.97333598206713e-05	-0.010513950229129	-0.0120098383343939	0.0122945638499932	-0.00668047661020834	0.0139720387471192	-0.00414355320760115	0.0584674007410181	-0.00747347467437347	1e-15	1e-15	-0.0586705863442941	0.00971333887014657
"PICECH"	1e-15	0.00423869186553748	1e-15	1e-15	1e-15	1e-15	1e-15	0.00472754999092757	1e-15	-0.00817450678993752	1e-15	-0.00668570258253303	0.00564004305273961	-0.021304091382072	1e-15	1e-15	0.00974257086801639	0.0034693814587607	0.0139541882327902	0.00644989205653417	0.010604963425576	1e-15
