"ACHMIL"	"ARRELA"	"BROERE"	"CENJAC"	"CONARV"	"CREPIS"	"DACGLO"	"DAUCAR"	"ELYREP"	"ERYNGE"	"FESRUB"	"GALVER"	"LEUVUL"	"ONOREP"	"PICECH"	"PLALAN"	"POAANG"	"RANACR"	"RUMACE"	"SALPRA"	"TAROFF"	"TRIPRA"
"ACHMIL"	0.00780233769953309	1e-15	1e-15	0.00192779264369705	1e-15	1e-15	0.0115940192326374	1e-15	0.00854301376118963	1e-15	0.0013015493865964	0.00469200171862937	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	-0.0233069760181739	1e-15	-0.0229929275031741
"ARRELA"	0.000869117960038495	1e-15	-0.00161859528988431	1e-15	-0.00278569078194812	0.000692971903103043	1e-15	1e-15	0.0142906502181069	-0.00296844768058174	-0.00466332409001271	1e-15	1e-15	1e-15	0.00502964965660227	-0.000986528428319739	1e-15	0.0027916719619985	1e-15	1e-15	1e-15	-0.00166526175901372
"BROERE"	1e-15	1.98787151222526e-05	1e-15	1e-15	0.00415750079109493	-0.0250354114440567	0.00221136642707107	-0.000103129098050875	0.0104036445082281	-0.00227792584631864	1e-15	-0.000327487228964161	2.0114216417623e-06	-0.00312709593055523	0.00460386410875632	1e-15	-0.00322537913070409	1e-15	1e-15	1e-15	1e-15	1e-15
"CENJAC"	1e-15	1e-15	1e-15	-0.0110098075648063	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.000682360332500629	-0.000785670376238539	1e-15	1e-15	0.00208476260309077	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15
"CONARV"	1e-15	1e-15	1e-15	0.00404750321086273	-0.00163394779655595	-0.00303838594032057	0.00235252767152123	0.00059366197866853	1e-15	-0.0164162181826559	1e-15	1e-15	1e-15	-0.0186248116027821	0.00545760974983511	1e-15	0.005240735449295	1e-15	1e-15	-0.0153343329803203	-0.00394976660417426	-0.00258150774130398
"CREPIS"	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	1e-15	0.00375814152838079	1e-15	1e-15	-0.00404438204872263	0.0189115729618707	0.000695516404311269	1e-15	1e-15
"DACGLO"	0.00978670973384876	-0.00191112354740686	0.000306758046060501	-0.00599545598755688	0.0117987515915848	1e-15	-0.00254832624064536	0.00113025119517858	0.025482504642587	0.0143771843744292	1e-15	1e-15	0.0063123493742327	1e-15	0.000287867425874945	1e-15	-0.00115766352182276	-0.00115698711273678	-0.00741602216086154	0.00262823320989213	0.0308011465188068	0.00747436544227759
"DAUCAR"	1e-15	-0.00271431877609847	-0.00287930893070297	-0.000797232550759718	1e-15	-0.00516979625572549	1e-15	0.00181552836792234	-0.0075027583106449	0.0154482722366652	-0.00385630467430711	1e-15	-0.000216209054703316	1e-15	0.0091064289476476	-0.00392487252682925	-0.0224527301234004	1e-15	1e-15	-0.0256864387373704	1e-15	1e-15
"ELYREP"	1e-15	0.0108741687126328	-0.000921976306202445	0.00261451865794638	-0.0133760286908002	1e-15	1e-15	-0.00179126531556828	1e-15	0.0246043230781842	1e-15	-0.0264032274496211	1e-15	-0.014080727386817	0.00386580541327632	0.0153710211037111	-0.0170666874609406	1e-15	1e-15	1e-15	-0.103834678523495	0.00277074982299931
"ERYNGE"	1e-15	-0.00374463393951481	-0.00843569830645914	1e-15	1e-15	-0.00868055583535242	-0.00420055482258369	1e-15	-0.0866076502014904	1e-15	1e-15	1e-15	0.00608551640948908	-0.000478311832567187	1e-15	-0.0213872365718913	1e-15	0.0612868914676684	1e-15	0.0349448987541566	1e-15	1e-15
"FESRUB"	1e-15	-0.00493603491064958	-0.0040586515199939	-0.0149892531141922	1e-15	-0.00981217815217367	0.024499020074988	0.000386465374358233	1e-15	1e-15	-0.00272008388825846	1e-15	0.0149794015969809	1e-15	1e-15	1e-15	1e-15	1e-15	0.00775624362892681	0.000103885974784659	-0.00260030492184879	-0.00741460939934634
